ITEM;DESTINATARIO_DOACAO;CNPJ_DESTINATARIO_DOACAO;DATA_ENTREGA;CIDADE_DESTINATARIO;PRODUTO;QUANTIDADE;UNIDADE_MEDIDA;VALOR_UNITARIO;VALOR_TOTAL
462;CEDEC - CORDENADORIA ESTADUAL DE DEFESA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;LEITE UHT INTEGRAL 1L CX C/12;4880;UN;2,219;10828,72
463;CEDEC - CORDENADORIA ESTADUAL DE DEFESA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;CESTA BÁSICA VLI;5958;UN;36,37;216692,46
464;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;ENXOVAL HOSPITALAR;3545;UN;28,21;100004,45
465;SERVAS-SERVIÇOVOLUNTÁRIODEASSISTENC;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;MASCARA BICO DE PATO TNT;145;UN;1,5;217,5
466;SERVAS-SERVIÇOVOLUNTÁRIODEASSISTENC;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;MASCARA DE TECIDO;158;UN;4,95;782,1
467;SERVAS-SERVIÇOVOLUNTÁRIODEASSISTENC;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;MASCARA TNT DESCARTAVEIS;390;UN;1,5;585
468;HEMOMINASTEL:COD:908;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;MASCARA DE PROTEÇÃO FACE SHIELD;600;UN;0,01;6
469;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;MONITORES MULTIPARAMETRICOS HOSPITALAR;7;UN;13780;96460
470;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;CAMA ELETRICA HOME CARE;28;UN;7858;220024
471;GABINETEMILITAR;18.715.565/0001-10;2020-05-24;BELO HORIZONTE;LICENÇA DE USO SOFTWARE;1;UN;15750;15750
472;SEPLAGTEL:COD:1116;18.715.516/0001-88;2020-05-24;BELO HORIZONTE;LICENÇA DE USO SOFTWARE PLATAFORMA NEOWA;1;UN;626505,28;626505,28
473;SEGOV-SECRETARIA DEESTADODEGOVERNOTEL:;18.715.516/0001-88;2020-05-24;BELO HORIZONTE;LICENÇA DE USO DE SOFTWARE TELEMEDICINA;1;UN;354000;354000
474;SAMU-GOVERNADORVALADARES;18.715.516/0001-88;2020-05-24;GOVERNADOR VALADARES;MACACAO CAPUZ TYVEK G FIAT;50;UN;28,67;1433,5
475;CEDEC - CORDENADORIA ESTADUAL DE DEFESA;18.715.516/0001-88;2020-05-24;BELO HORIZONTE;VOUCHERS DE CORRIDAS;1000;UN;300;3e+05
476;PREFEITURA DE BELOHORIZONTE;18.715.383/0001-40;2020-05-27;BELO HORIZONTE;ALCOOL GLICERINADO 70% - GALÃO 5L;75;LT;2,83;212,25
477;PREFEITURA DE BELOHORIZONTE;18.715.383/0001-40;2020-05-27;BELO HORIZONTE;LUVA DESC NITRIL AZ G CX C/300 VLI;1800;UN;0,27;486
478;PREFEITURA DE JABOTICATUBAS;18.715.417/0001-04;2020-05-27;JABOTICATUBAS;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
479;PREFEITURA DE JABOTICATUBAS;18.715.417/0001-04;2020-05-27;JABOTICATUBAS;LUVA DESC NITRIL AZ G CX C/300 VLI;3000;UN;0,27;810
480;PREFEITURA DE JABOTICATUBAS;18.715.417/0001-04;2020-05-27;JABOTICATUBAS;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;200;UN;9,9;1980
481;PREFEITURA DE BELOHORIZONTE;18.715.383/0001-40;2020-05-27;BELO HORIZONTE;MASCARA DE PROTECAO;400;UN;4,396;1758,4
482;PREFEITURA DE TEOFILOOTONI;18.404.780/0001-09;2020-05-27;TEOFILO OTONI;LUVA DESC NITRIL AZ G CX C/300 VLI;3000;UN;0,27;810
483;HOSPITAL BOMSAMARITANO;18.715.516/0001-88;2020-05-27;TEÓFILO OTONI;MASCARA DE PROTECAO;2500;UN;4,396;10990
484;HOSPITAL BOMSAMARITANO;18.715.516/0001-88;2020-05-27;TEÓFILO OTONI;ALCOOL GLICERINADO 70% - GALÃO 5L;75;LT;2,83;212,25
485;PREFEITURA DE LADAINHA;18.404.863/0001-90;2020-05-27;LADAINHA;ALCOOL GLICERINADO 70% - GALÃO 5L;75;LT;2,83;212,25
486;PREFEITURA DE IPANEMA;18.334.292/0001-64;2020-05-27;IPANEMA;MASCARA DE PROTECAO;500;UN;4,396;2198
487;PREFEITURA DE IPANEMA;18.334.292/0001-64;2020-05-27;IPANEMA;ALCOOL GLICERINADO 70% - GALÃO 5L;75;LT;2,83;212,25
488;PREFEITURA DE IPANEMA;18.334.292/0001-64;2020-05-27;IPANEMA;LUVA DESC NITRIL AZ G CX C/300 VLI;600;UN;0,27;162
489;PREFEITURA DE IPANEMA;18.334.292/0001-64;2020-05-27;IPANEMA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;400;UN;9,9;3960
490;HOSPITAL DAPOLICIAMILITAR;16.695.025/0001-97;2020-05-27;BELO HORIZONTE;ALCOOL GLICERINADO 70% - GALÃO 5L;75;LT;2,83;212,25
491;HOSPITAL DAPOLICIAMILITAR;16.695.025/0001-97;2020-05-27;BELO HORIZONTE;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;600;UN;9,9;5940
492;SECRETARIA MUN. DE SAÚDE DEGOVVALADARESTEL:;20.622.890/0001-80;2020-05-27;GOVERNADOR VALADARES;LUVA DESC NITRIL AZ G CX C/300 VLI;3000;UN;0,27;810
493;CISRUN- CONSÓRCIO INTERMUNICIPAL  DE SAÚDE;18.715.516/0001-88;2020-05-27;MONTES CLAROS;LUVA DESC NITRIL AZ G CX C/300 VLI;3000;UN;0,27;810
494;SAMUCONTAGEM-FUNDOMUNICIPAL DE SAÚDE;14.237.130/0001-57;2020-05-27;CONTAGEM;ALCOOL GLICERINADO 70% - GALÃO 5L;75;LT;2,83;212,25
495;SAMUCONTAGEM-FUNDOMUNICIPAL DE SAÚDE;14.237.130/0001-57;2020-05-27;CONTAGEM;LUVA DESC NITRIL AZ G CX C/300 VLI;900;UN;0,27;243
496;UPA SANTALUZIA;18.715.516/0001-88;2020-05-27;JUIZ DE FORA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;10000;UN;9,9;99000
497;UPA SÃOPEDRO;18.715.516/0001-88;2020-05-27;JUIZ DE FORA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;10000;UN;9,9;99000
498;UPA NORTE-JUIZDEFORA;18.715.516/0001-88;2020-05-27;JUIZ DE FORA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;10000;UN;9,9;99000
499;UPA DR.JOSÉADELSONPIRESMOREIRA;18.715.516/0001-88;2020-05-27;NOVA LIMA;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,432;127,008
500;UPA PADREROBERTROCORDEIROMARTINS;18.715.516/0001-88;2020-05-27;DIVINOPOLIS;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,432;435,456
501;SAMUDEBETIM;13.064.113/0001-00;2020-05-27;BELO HORIZONTE;ALCOOL GLICERINADO 70% - GALÃO 5L;75;LT;2,83;212,25
502;SAMUDEBETIM;13.064.113/0001-00;2020-05-27;BELO HORIZONTE;LUVA DESC NITRIL AZ G CX C/300 VLI;900;UN;0,27;243
503;PREFEITURA DE CANDEIAS;17.888.090/0001-00;2020-05-27;CANDEIAS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
504;PREFEITURA DE ITAUNA;18.309.724/0001-87;2020-05-27;ITAUNA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
505;PREFEITURA DE SANTOANTONIODOAMPARO;18.244.335/0001-10;2020-05-27;SANTO ANTÔNIO DO AMPARO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
506;PREFEITURA DE BAEPENDI;18.008.862/0001-26;2020-05-27;BAEPENDI;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;8;UN;15,37;122,96
507;PREFEITURA DE MONTEALEGREDEMINAS;18.431.155/0001-48;2020-05-27;MONTE ALEGRE DE MINAS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
508;PREFEITURA DE BRAZOPOLIS;18.307.389/0001-88;2020-05-27;BRAZOPOLIS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
509;UPA DR.JOSÉADELSONPIRESMOREIRA;18.715.516/0001-88;2020-05-28;NOVA LIMA;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
510;PREFEITURA DE UNAI;18.125.161/0001-77;2020-05-29;UNAI;MONITORES MULTIPARAMETRICOS HOSPITALAR;8;UN;18000;144000
511;GABINETEMILITAR;18.715.565/0001-10;2020-06-01;BELO HORIZONTE;OLEO DIESEL B S10;5000;UN;2,659;13295
512;GABINETEMILITAR;18.715.565/0001-10;2020-06-01;BELO HORIZONTE;GASOLINA COMUM;10000;LT;3,58;35800
513;CIS-URGOESTE;20.059.618/0001-34;2020-06-02;DIVINOPOLIS;ALCOOL EM GEL 5L;120;LT;16;1920
514;UPA PADREROBERTROCORDEIROMARTINS;18.715.516/0001-88;2020-06-02;DIVINOPOLIS;ALCOOL EM GEL 5L;120;LT;16;1920
515;PREFEITURA DE ITAUNA;18.309.724/0001-87;2020-06-03;ITAUNA;MASCARA DE PROTECAO;1000;UN;4,396;4396
516;PREFEITURA DE ITAUNA;18.309.724/0001-87;2020-06-03;ITAUNA;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
517;PREFEITURA DE ITAUNA;18.309.724/0001-87;2020-06-03;ITAUNA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;800;UN;9,9;7920
518;PREFEITURA DE TAPARUBA;01.616.741/0001-64;2020-06-03;TAPARUBA;MASCARA DE PROTECAO;2000;UN;4,396;8792
519;PREFEITURA DE TAPARUBA;01.616.741/0001-64;2020-06-03;TAPARUBA;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
520;PREFEITURA DE TAPARUBA;01.616.741/0001-64;2020-06-03;TAPARUBA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;1200;UN;9,9;11880
521;PREFEITURA DE RIOPOMBA;17.744.434/0001-07;2020-06-03;RIO POMBA;MASCARA DE PROTECAO;2000;UN;4,396;8792
522;PREFEITURA DE RIOPOMBA;17.744.434/0001-07;2020-06-03;RIO POMBA;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
523;PREFEITURA DE RIOPOMBA;17.744.434/0001-07;2020-06-03;RIO POMBA;LUVA DESC NITRIL AZ G CX C/300 VLI;900;UN;0,27;243
524;PREFEITURA DE RIOPOMBA;17.744.434/0001-07;2020-06-03;RIO POMBA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;1000;UN;9,9;9900
525;PREFEITURA DE SETELAGOAS;24.996.969/0001-22;2020-06-03;SETE LAGOAS;ALCOOL EM GEL 5L;120;LT;16;1920
526;PREFEITURA DE SETELAGOAS;24.996.969/0001-22;2020-06-03;SETE LAGOAS;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
527;PREFEITURA DE SETELAGOAS;24.996.969/0001-22;2020-06-03;SETE LAGOAS;MASCARA DESCARTAVEL;500;UN;2,74;1370
528;UPA DR.JUVENALPAIVA;18.715.516/0001-88;2020-06-03;SETE LAGOAS;ALCOOL EM GEL 5L;120;LT;16;1920
529;UPA DR.JUVENALPAIVA;18.715.516/0001-88;2020-06-03;SETE LAGOAS;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
530;UPA DR.JUVENALPAIVA;18.715.516/0001-88;2020-06-03;SETE LAGOAS;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;400;UN;9,9;3960
531;UPA DR.JUVENALPAIVA;18.715.516/0001-88;2020-06-03;SETE LAGOAS;MASCARA DESCARTAVEL;500;UN;2,74;1370
532;UNIDADEAISETEDESETEMBRO;18.715.516/0001-88;2020-06-03;BETIM;ALCOOL EM GEL 5L;120;LT;16;1920
533;UPA TERESÓPOLIS;18.715.516/0001-88;2020-06-03;BETIM;ALCOOL EM GEL 5L;120;LT;16;1920
534;SAMUDEBETIM;13.064.113/0001-00;2020-06-03;BELO HORIZONTE;ALCOOL EM GEL 5L;120;LT;16;1920
535;UNIDADEAINILDANOGUEIRADOAANDRADE;18.715.516/0001-88;2020-06-03;BETIM;ALCOOL EM GEL 5L;120;LT;16;1920
536;UNIDADEAIALEXANDRESILVAADINIZALTE;18.715.516/0001-88;2020-06-03;BETIM;ALCOOL EM GEL 5L;120;LT;16;1920
537;NOVA UPA JK-CONTAGEM;18.715.516/0001-88;2020-06-03;CONTAGEM;ALCOOL EM GEL 5L;120;LT;16;1920
538;SAMUCONTAGEM-FUNDOMUNICIPAL DE SAÚDE;14.237.130/0001-57;2020-06-03;CONTAGEM;ALCOOL EM GEL 5L;120;LT;16;1920
539;UPA UNIDADEXVI UPA XVIUNIDADEXVI UPA;18.715.516/0001-88;2020-06-03;CONTAGEM;ALCOOL EM GEL 5L;120;LT;16;1920
540;UPA PETROLÂNDIA;18.715.516/0001-88;2020-06-03;CONTAGEM;ALCOOL EM GEL 5L;120;LT;16;1920
541;UPA VARGEMDASFLORES;18.715.516/0001-88;2020-06-03;CONTAGEM;ALCOOL EM GEL 5L;120;LT;16;1920
542;UPA RESSACA;18.715.516/0001-88;2020-06-03;CONTAGEM;ALCOOL EM GEL 5L;120;LT;16;1920
543;PREFEITURA DE IPANEMA;18.334.292/0001-64;2020-06-04;IPANEMA;MASCARA TIPO CIRURGICA TNT > 95% BFE;200;UN;3,085;617
544;PREFEITURA DE IPANEMA;18.334.292/0001-64;2020-06-04;IPANEMA;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
545;PREFEITURA DE IPANEMA;18.334.292/0001-64;2020-06-04;IPANEMA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;1000;UN;9,9;9900
546;PREFEITURA DE IPANEMA;18.334.292/0001-64;2020-06-04;IPANEMA;MASCARA DESCARTAVEL;1000;UN;2,74;2740
547;PREFEITURA DE NOVASERRANA;18.291.385/0001-59;2020-06-04;NOVA SERRANA;ALCOOL EM GEL 5L;120;LT;16;1920
548;PREFEITURA DE PASSABEM;18.299.511/0001-11;2020-06-04;PASSABEM;MASCARA TIPO CIRURGICA TNT > 95% BFE;200;UN;3,085;617
549;PREFEITURA DE PASSABEM;18.299.511/0001-11;2020-06-04;PASSABEM;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
550;PREFEITURA DE PASSABEM;18.299.511/0001-11;2020-06-04;PASSABEM;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;1000;UN;9,9;9900
551;PREFEITURA DE PASSABEM;18.299.511/0001-11;2020-06-04;PASSABEM;MASCARA DESCARTAVEL;1000;UN;2,74;2740
552;PREFEITURA DE CATAGUASES;17.702.499/0001-81;2020-06-04;CATAGUASES;MASCARA TIPO CIRURGICA TNT > 95% BFE;200;UN;3,085;617
553;PREFEITURA DE CATAGUASES;17.702.499/0001-81;2020-06-04;CATAGUASES;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
554;PREFEITURA DE CATAGUASES;17.702.499/0001-81;2020-06-04;CATAGUASES;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;1000;UN;9,9;9900
555;PREFEITURA DE CATAGUASES;17.702.499/0001-81;2020-06-04;CATAGUASES;MASCARA DESCARTAVEL;1000;UN;2,74;2740
556;UPA CENTROSUL-BELOHORIZONTE;18.715.516/0001-88;2020-06-04;BELO HORIZONTE;ALCOOL EM GEL 5L;120;LT;16;1920
557;UPA VENDANOVA;18.715.516/0001-88;2020-06-04;BELO HORIZONTE;ALCOOL EM GEL 5L;120;LT;16;1920
558;UPA OESTE-BELOHORIZONTE;18.715.516/0001-88;2020-06-04;BELO HORIZONTE;ALCOOL EM GEL 5L;140;LT;16;2240
559;UPA LESTE-BELOHORIZONTE;18.715.516/0001-88;2020-06-04;BELO HORIZONTE;ALCOOL EM GEL 5L;120;LT;16;1920
560;UPA BARREIRO;18.715.516/0001-88;2020-06-04;BELO HORIZONTE;ALCOOL EM GEL 5L;120;LT;16;1920
561;PREFEITURA DE BELOHORIZONTE;18.715.383/0001-40;2020-06-04;BELO HORIZONTE;ALCOOL EM GEL 5L;120;LT;16;1920
562;UPA NORDESTE-BELOHORIZONTE;18.715.516/0001-88;2020-06-04;BELO HORIZONTE;ALCOOL EM GEL 5L;120;LT;16;1920
563;UPA CELSOMATOSSILVA;18.715.516/0001-88;2020-06-04;ITABIRITO;ALCOOL EM GEL 5L;120;LT;16;1920
564;PREFEITURA DE OUROPRETO;18.295.295/0001-36;2020-06-04;OURO PRETO;ALCOOL EM GEL 5L;120;LT;16;1920
565;PREFEITURA DE MARIANA;18.295.303/0001-44;2020-06-04;MARIANA;ALCOOL EM GEL 5L;120;LT;16;1920
566;UPA PASSOS;18.715.516/0001-88;2020-06-04;PASSOS;ALCOOL EM GEL 5L;120;LT;16;1920
567;PREFEITURA DE PATOSDEMINAS;18.602.011/0001-07;2020-06-04;PATOS DE MINAS;ALCOOL EM GEL 5L;240;LT;16;3840
568;PREFEITURA DE POCOSDECALDAS;18.629.840/0001-83;2020-06-04;POÇOS DE CALDAS;ALCOOL EM GEL 5L;260;LT;16;4160
569;PREFEITURA DE SALINAS;24.359.333/0001-70;2020-06-04;SALINAS;ALCOOL EM GEL 5L;120;LT;16;1920
570;PREFEITURA DE UBERABA;18.428.839/0001-90;2020-06-04;UBERABA;ALCOOL EM GEL 5L;360;LT;16;5760
571;UPA SANTOANTÔNIODOMONTE;18.715.516/0001-88;2020-06-04;SANTO ANTÔNIO DO MONTE;ALCOOL EM GEL 5L;120;LT;16;1920
572;PREFEITURA DE TEOFILOOTONI;18.404.780/0001-09;2020-06-04;TEOFILO OTONI;ALCOOL EM GEL 5L;240;LT;16;3840
573;PREFEITURA DE VARGINHA;18.240.119/0001-05;2020-06-04;VARGINHA;ALCOOL EM GEL 5L;240;LT;16;3840
574;UPA SÃOJOÃODELREI;18.715.516/0001-88;2020-06-04;SÃO JOAO DEL REI;ALCOOL EM GEL 5L;120;LT;16;1920
575;POLICIAMILITARDOESTADODEMINASGERAI;16.695.025/0001-97;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;450;UN;2,5;1125
576;POLICIAMILITARDOESTADODEMINASGERAI;16.695.025/0001-97;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;400;UN;2,5;1000
577;POLICIAMILITARDOESTADODEMINASGERAI;16.695.025/0001-97;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;200;UN;2,5;500
578;PREFEITURA DE BAMBUI;20.920.567/0001-93;2020-06-05;BAMBUI;MASCARA TIPO CIRURGICA TNT > 95% BFE;200;UN;3,085;617
579;PREFEITURA DE BAMBUI;20.920.567/0001-93;2020-06-05;BAMBUI;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
580;PREFEITURA DE BAMBUI;20.920.567/0001-93;2020-06-05;BAMBUI;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;1000;UN;9,9;9900
581;PREFEITURA DE BAMBUI;20.920.567/0001-93;2020-06-05;BAMBUI;MASCARA DESCARTAVEL;1000;UN;2,74;2740
582;POLICIAMILITARDOESTADODEMINASGERAI;16.695.025/0001-97;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;16;UN;2,5;40
583;PREFEITURA DE PRESIDENTEKUBITSCHEK;17.754.185/0001-22;2020-06-05;PRESIDENTE KUBITSCHEK;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
584;POLICIAMILITARDOESTADODEMINASGERAI;16.695.025/0001-97;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;500;UN;2,5;1250
585;CORPODEBOMBEIROSMILITARDEMINASGERA;3.389.126/0001-98;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
586;PREFEITURA DE UBERLANDIA;18.431.312/0001-15;2020-06-05;UBERLÂNDIA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;6000;UN;9,9;59400
587;PREFEITURA DE TOMBOS;18.114.223/0001-45;2020-06-05;TOMBOS;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
588;PREFEITURA DE NOVAUNIAO;18.302.307/0001-02;2020-06-05;NOVA UNIAO;MASCARA TRICOLINE 100% ALCODAO;500;UN;2,5;1250
589;PREFEITURA DE ITAPEVA;18.677.625/0001-58;2020-06-05;ITAPEVA;MASCARA TRICOLINE 100% ALCODAO;1500;UN;2,5;3750
590;PREFEITURA DE SANTAMARIADEITABIRA;18.299.453/0001-26;2020-06-05;SANTA MARIA DE ITABIRA;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
591;POLICIAMILITARDOESTADODEMINASGERAI;16.695.025/0001-97;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;200;UN;2,5;500
592;POLICIAMILITARDOESTADODEMINASGERAI;16.695.025/0001-97;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
593;PREFEITURA DE JEQUITIBA;18.062.208/0001-09;2020-06-05;JEQUITIBA;MASCARA TRICOLINE 100% ALCODAO;1800;UN;2,5;4500
594;PREFEITURA DE GUANHAES;18.307.439/0001-27;2020-06-05;GUANHAES;MASCARA TRICOLINE 100% ALCODAO;1500;UN;2,5;3750
595;PREFEITURA DE FERNANDESTOURINHO;18.080.887/0001-30;2020-06-05;FERNANDES TOURINHO;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
596;PREFEITURA DE FORTUNADEMINAS;18.116.145/0001-18;2020-06-05;FORTUNA DE MINAS;MASCARA TRICOLINE 100% ALCODAO;1500;UN;2,5;3750
597;PREFEITURA DE SIMONESIA;18.385.120/0001-10;2020-06-05;SIMONESIA;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
598;POLICIAMILITARDOESTADODEMINASGERAI;16.695.025/0001-97;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;300;UN;2,5;750
599;PREFEITURA DE TARUMIRIM;18.338.855/0001-92;2020-06-05;TARUMIRIM;MASCARA TRICOLINE 100% ALCODAO;600;UN;2,5;1500
600;PREFEITURA DE UNAI;18.125.161/0001-77;2020-06-05;UNAI;MONITORES MULTIPARAMETRICOS HOSPITALAR;1;UN;19000;19000
601;PREFEITURA DE CARMESIA;18.303.172/0001-08;2020-06-08;CARMESIA;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
602;PREFEITURA DE SAOJOSEDOMANTIMENTO;18.392.514/0001-03;2020-06-08;SAO JOSE DO MANTIMENTO;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
603;PREFEITURA DE SAOJOSEDOMANTIMENTO;18.392.514/0001-03;2020-06-08;SAO JOSE DO MANTIMENTO;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
604;PREFEITURA DE SAOJOSEDOMANTIMENTO;18.392.514/0001-03;2020-06-08;SAO JOSE DO MANTIMENTO;MASCARA DESCARTAVEL;1000;UN;2,74;2740
605;PREFEITURA DE SAOSEBASTIAODORIOPRETO;18.303.263/0001-35;2020-06-08;SAO SEBASTIAO DO RIO PRETO;MASCARA TRICOLINE 100% ALCODAO;1500;UN;2,5;3750
606;PREFEITURA DE SAOSEBASTIAODORIOPRETO;18.303.263/0001-35;2020-06-08;SAO SEBASTIAO DO RIO PRETO;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
607;PREFEITURA DE SAOSEBASTIAODORIOPRETO;18.303.263/0001-35;2020-06-08;SAO SEBASTIAO DO RIO PRETO;MASCARA DESCARTAVEL;1000;UN;2,74;2740
608;PREFEITURA DE SANTA CRUZ DE MINAS;01.615.371/0001-40;2020-06-08;SANTA CRUZ DE MINAS;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
609;PREFEITURA DE SANTA CRUZ DE MINAS;01.615.371/0001-40;2020-06-08;SANTA CRUZ DE MINAS;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
610;PREFEITURA DE SANTA CRUZ DE MINAS;01.615.371/0001-40;2020-06-08;SANTA CRUZ DE MINAS;MASCARA DESCARTAVEL;1000;UN;2,74;2740
611;PREFEITURA DE JUVENILIA;01.612.485/0001-37;2020-06-08;JUVENILIA;MASCARA TRICOLINE 100% ALCODAO;1500;UN;2,5;3750
612;PREFEITURA DE JUVENILIA;01.612.485/0001-37;2020-06-08;JUVENILIA;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
613;PREFEITURA DE JUVENILIA;01.612.485/0001-37;2020-06-08;JUVENILIA;MASCARA DESCARTAVEL;1000;UN;2,74;2740
614;PREFEITURA DE PAIVA;17.747.965/0001-45;2020-06-08;PAIVA;MASCARA TRICOLINE 100% ALCODAO;1500;UN;2,5;3750
615;PREFEITURA DE PAIVA;17.747.965/0001-45;2020-06-08;PAIVA;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
616;PREFEITURA DE PAIVA;17.747.965/0001-45;2020-06-08;PAIVA;MASCARA DESCARTAVEL;1000;UN;2,74;2740
617;PREFEITURA DE CARANDAI;18.094.797/0001-07;2020-06-08;CARANDAI;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
618;PREFEITURA DE CARANDAI;18.094.797/0001-07;2020-06-08;CARANDAI;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
619;PREFEITURA DE CARANDAI;18.094.797/0001-07;2020-06-08;CARANDAI;MASCARA DESCARTAVEL;1000;UN;2,74;2740
620;POLICIAMILITARDOESTADODEMINASGERAI;16.695.025/0001-97;2020-06-08;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;400;UN;2,5;1000
621;PREFEITURA DE MEDINA;18.414.607/0001-83;2020-06-08;MEDINA;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
622;PREFEITURA DE MEDINA;18.414.607/0001-83;2020-06-08;MEDINA;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
623;PREFEITURA DE MEDINA;18.414.607/0001-83;2020-06-08;MEDINA;MASCARA DESCARTAVEL;1000;UN;2,74;2740
624;PREFEITURA DE SANTANADOMANHUACU;18.385.146/0001-68;2020-06-08;SANTANA DO MANHUAÇU;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
625;PREFEITURA DE SANTANADOMANHUACU;18.385.146/0001-68;2020-06-08;SANTANA DO MANHUAÇU;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
626;PREFEITURA DE SANTANADOMANHUACU;18.385.146/0001-68;2020-06-08;SANTANA DO MANHUAÇU;MASCARA DESCARTAVEL;1000;UN;2,74;2740
627;PREFEITURA DE OUROVERDEDEMINAS;18.404.947/0001-23;2020-06-08;OURO VERDE DE MINAS;MASCARA TRICOLINE 100% ALCODAO;1500;UN;2,5;3750
